Dataset,Attack,Model,eval_L1,eval_L2,eval_Linf,eval_Sen,eval_Mahalanobis,eval_Sparsity,eval_Neighbour_Distance
breast_cancer,lowprofool_l_inf,svc,4.34616,0.9452022,0.34572694,1.0604314,0.3773237,29.9375,0.6495552
breast_cancer,fgsm_l_1,svc,0.29980233,0.06453836,0.022831846,0.07435897,0.025137123,29.9375,0.06453836
breast_cancer,fgsm_l_2,svc,1.3878828,0.29911616,0.106119,0.3436981,0.11677013,29.9375,0.289883
breast_cancer,fgsm_l_inf,svc,7.8941336,1.4977918,0.30000004,1.9371164,0.5638536,29.9375,0.9558521
breast_cancer,bim,svc,7.8941336,1.4977918,0.30000004,1.9371164,0.5638536,29.9375,0.9558521
breast_cancer,mim,svc,7.8941336,1.4977918,0.30000004,1.9371164,0.5638536,29.9375,0.9558521
breast_cancer,pgd_l_1,svc,0.29999995,0.064584605,0.022848785,0.07440337,0.02515636,29.9375,0.064584605
breast_cancer,pgd_l_2,svc,1.3903673,0.29999992,0.106849276,0.34375566,0.117433116,29.9375,0.29013163
breast_cancer,pgd_l_inf,svc,7.8941336,1.4977918,0.30000004,1.9371164,0.5638536,29.9375,0.9558521
breast_cancer,deepfool,nn_2,6.816253,1.5350353,0.56774753,1.6573727,0.41712266,29.84375,1.2585734
breast_cancer,carlini_l_2,nn_2,1.033827,0.2793217,0.1501957,0.23672031,0.062349185,29.8125,0.26112056
breast_cancer,carlini_l_inf,nn_2,0.13033403,0.025541795,0.006738967,0.030842954,0.0035644763,29.703125,0.025541795
breast_cancer,lowprofool_l_2,nn_2,7.3194876,1.7114276,0.7109751,1.8252915,0.46905112,29.953125,1.4113357
breast_cancer,lowprofool_l_inf,nn_2,7.3255353,1.6949761,0.70553374,1.8334837,0.45442975,29.9375,1.4083172
breast_cancer,fgsm_l_1,nn_2,0.29815128,0.06767499,0.028003436,0.07594909,0.015374778,29.84375,0.06767499
breast_cancer,fgsm_l_2,nn_2,1.2834868,0.291466,0.12314784,0.32245505,0.06768415,29.84375,0.29085556
breast_cancer,fgsm_l_inf,nn_2,7.38042,1.4229039,0.3,1.8175696,0.28065205,29.84375,1.2485801
breast_cancer,bim,nn_2,7.763382,1.4788052,0.30000004,1.9279482,0.45134145,29.953125,1.1550602
breast_cancer,mim,nn_2,7.68024,1.4671817,0.30000004,1.8999633,0.35518074,29.859375,1.2402165
breast_cancer,pgd_l_1,nn_2,0.29999992,0.06832679,0.02800197,0.07640952,0.015776891,29.84375,0.06832679
breast_cancer,pgd_l_2,nn_2,1.3112184,0.29999992,0.12253721,0.32774734,0.07324189,29.84375,0.29932985
breast_cancer,pgd_l_inf,nn_2,7.68024,1.4671817,0.30000004,1.8999633,0.35518074,29.859375,1.2402165
